Date;Open;
16.11.2012;1353.359985;0
19.11.2012;1359.880005;1
20.11.2012;1386.819946;1
21.11.2012;1387.790039;1
23.11.2012;1391.030029;1
26.11.2012;1409.150024;1
27.11.2012;1406.290039;0
28.11.2012;1398.770020;0
29.11.2012;1409.959961;1
30.11.2012;1415.949951;1
03.12.2012;1416.339966;1
04.12.2012;1409.459961;0
05.12.2012;1407.050049;0
06.12.2012;1409.430054;1
07.12.2012;1413.949951;1
10.12.2012;1418.069946;1
11.12.2012;1418.550049;1
12.12.2012;1427.839966;1
13.12.2012;1428.479980;1
14.12.2012;1419.449951;0
17.12.2012;1413.540039;0
18.12.2012;1430.469971;1
19.12.2012;1446.790039;1
20.12.2012;1435.810059;0
21.12.2012;1443.670044;1
24.12.2012;1430.150024;0
26.12.2012;1426.660034;0
27.12.2012;1419.829956;0
28.12.2012;1418.099976;0
31.12.2012;1402.430054;0
02.01.2013;1426.189941;1
03.01.2013;1462.420044;1
04.01.2013;1459.369995;0
07.01.2013;1466.469971;1
08.01.2013;1461.890015;0
09.01.2013;1457.150024;0
10.01.2013;1461.020020;1
11.01.2013;1472.119995;1
14.01.2013;1472.050049;0
15.01.2013;1470.670044;0
16.01.2013;1472.329956;1
17.01.2013;1472.630005;1
18.01.2013;1480.949951;1
22.01.2013;1485.979980;1
23.01.2013;1492.560059;1
24.01.2013;1494.810059;1
25.01.2013;1494.819946;1
28.01.2013;1502.959961;1
29.01.2013;1500.180054;0
30.01.2013;1507.839966;1
31.01.2013;1501.959961;0
01.02.2013;1498.109985;0
04.02.2013;1513.170044;1
05.02.2013;1495.709961;0
06.02.2013;1511.290039;1
07.02.2013;1512.119995;1
08.02.2013;1509.390015;0
11.02.2013;1517.930054;1
12.02.2013;1517.010010;0
13.02.2013;1519.430054;1
14.02.2013;1520.329956;1
15.02.2013;1521.380005;1
19.02.2013;1519.790039;0
20.02.2013;1530.939941;1
21.02.2013;1511.949951;0
22.02.2013;1502.420044;0
25.02.2013;1515.599976;1
26.02.2013;1487.849976;0
27.02.2013;1496.939941;1
28.02.2013;1515.989990;1
01.03.2013;1514.680054;0
04.03.2013;1518.199951;1
05.03.2013;1525.199951;1
06.03.2013;1539.790039;1
07.03.2013;1541.459961;1
08.03.2013;1544.260010;1
11.03.2013;1551.150024;1
12.03.2013;1556.219971;1
13.03.2013;1552.479980;0
14.03.2013;1554.520020;1
15.03.2013;1563.209961;1
18.03.2013;1560.699951;0
19.03.2013;1552.099976;0
20.03.2013;1548.339966;0
21.03.2013;1558.709961;1
22.03.2013;1545.900024;0
25.03.2013;1556.890015;1
26.03.2013;1551.689941;0
27.03.2013;1563.750000;1
28.03.2013;1562.859985;0
01.04.2013;1569.180054;1
02.04.2013;1562.170044;0
03.04.2013;1570.250000;1
04.04.2013;1553.689941;0
05.04.2013;1559.979980;1
08.04.2013;1553.260010;0
09.04.2013;1563.109985;1
10.04.2013;1568.609985;1
11.04.2013;1587.729980;1
12.04.2013;1593.300049;1
15.04.2013;1588.839966;0
16.04.2013;1552.359985;0
17.04.2013;1574.569946;1
18.04.2013;1552.030029;0
19.04.2013;1541.609985;0
22.04.2013;1555.250000;1
23.04.2013;1562.500000;1
24.04.2013;1578.780029;1
25.04.2013;1578.930054;1
26.04.2013;1585.160034;1
29.04.2013;1582.339966;0
30.04.2013;1593.579956;1
01.05.2013;1597.550049;1
02.05.2013;1582.770020;0
03.05.2013;1597.599976;1
06.05.2013;1614.400024;1
07.05.2013;1617.550049;1
08.05.2013;1625.949951;1
09.05.2013;1632.689941;1
10.05.2013;1626.689941;0
13.05.2013;1632.099976;1
14.05.2013;1633.750000;1
15.05.2013;1649.130005;1
16.05.2013;1658.069946;1
17.05.2013;1652.449951;0
20.05.2013;1665.709961;1
21.05.2013;1666.199951;1
22.05.2013;1669.390015;1
23.05.2013;1651.619995;0
24.05.2013;1646.670044;0
28.05.2013;1652.630005;1
29.05.2013;1656.569946;1
30.05.2013;1649.140015;0
31.05.2013;1652.130005;1
03.06.2013;1631.709961;0
04.06.2013;1640.729980;1
05.06.2013;1629.050049;0
06.06.2013;1609.290039;0
07.06.2013;1625.270020;1
10.06.2013;1644.670044;1
11.06.2013;1638.640015;0
12.06.2013;1629.939941;0
13.06.2013;1612.150024;0
14.06.2013;1635.520020;1
17.06.2013;1630.640015;0
18.06.2013;1639.770020;1
19.06.2013;1651.829956;1
20.06.2013;1624.619995;0
21.06.2013;1588.619995;0
24.06.2013;1588.770020;1
25.06.2013;1577.520020;0
26.06.2013;1592.270020;1
27.06.2013;1606.439941;1
28.06.2013;1611.119995;1
01.07.2013;1609.780029;0
02.07.2013;1614.290039;1
03.07.2013;1611.479980;0
05.07.2013;1618.650024;1
08.07.2013;1634.199951;1
09.07.2013;1642.890015;1
10.07.2013;1651.560059;1
11.07.2013;1657.410034;1
12.07.2013;1675.260010;1
15.07.2013;1679.589966;1
16.07.2013;1682.699951;1
17.07.2013;1677.910034;0
18.07.2013;1681.050049;1
19.07.2013;1686.150024;1
22.07.2013;1694.410034;1
23.07.2013;1696.630005;1
24.07.2013;1696.060059;0
25.07.2013;1685.209961;0
26.07.2013;1687.310059;1
29.07.2013;1690.319946;1
30.07.2013;1687.920044;0
31.07.2013;1687.760010;0
01.08.2013;1689.420044;1
02.08.2013;1706.099976;1
05.08.2013;1708.010010;1
06.08.2013;1705.790039;0
07.08.2013;1695.300049;0
08.08.2013;1693.349976;0
09.08.2013;1696.099976;1
12.08.2013;1688.369995;0
13.08.2013;1690.650024;1
14.08.2013;1693.880005;1
15.08.2013;1679.609985;0
16.08.2013;1661.219971;0
19.08.2013;1655.250000;0
20.08.2013;1646.810059;0
21.08.2013;1650.660034;1
22.08.2013;1645.030029;0
23.08.2013;1659.920044;1
26.08.2013;1664.290039;1
27.08.2013;1652.540039;0
28.08.2013;1630.250000;0
29.08.2013;1633.500000;1
30.08.2013;1638.890015;1
03.09.2013;1635.949951;0
04.09.2013;1640.719971;1
05.09.2013;1653.280029;1
06.09.2013;1657.439941;1
09.09.2013;1656.849976;0
10.09.2013;1675.109985;1
11.09.2013;1681.040039;1
12.09.2013;1689.209961;1
13.09.2013;1685.040039;0
16.09.2013;1691.699951;1
17.09.2013;1697.729980;1
18.09.2013;1705.739990;1
19.09.2013;1727.339966;1
20.09.2013;1722.439941;0
23.09.2013;1711.439941;0
24.09.2013;1702.599976;0
25.09.2013;1698.020020;0
26.09.2013;1694.050049;0
27.09.2013;1695.520020;1
30.09.2013;1687.260010;0
01.10.2013;1682.410034;0
02.10.2013;1691.900024;1
03.10.2013;1692.349976;1
04.10.2013;1678.790039;0
07.10.2013;1687.150024;1
08.10.2013;1676.219971;0
09.10.2013;1656.989990;0
10.10.2013;1660.880005;1
11.10.2013;1691.089966;1
14.10.2013;1699.859985;1
15.10.2013;1709.170044;1
16.10.2013;1700.489990;0
17.10.2013;1720.170044;1
18.10.2013;1736.719971;1
21.10.2013;1745.199951;1
22.10.2013;1746.479980;1
23.10.2013;1752.270020;1
24.10.2013;1747.479980;0
25.10.2013;1756.010010;1
28.10.2013;1759.420044;1
29.10.2013;1762.930054;1
30.10.2013;1772.270020;1
31.10.2013;1763.239990;0
01.11.2013;1758.699951;0
04.11.2013;1763.400024;1
05.11.2013;1765.670044;1
06.11.2013;1765.000000;0
07.11.2013;1770.739990;1
08.11.2013;1748.369995;0
11.11.2013;1769.959961;1
12.11.2013;1769.510010;0
13.11.2013;1764.369995;0
14.11.2013;1782.750000;1
15.11.2013;1790.660034;1
18.11.2013;1798.819946;1
19.11.2013;1790.790039;0
20.11.2013;1789.589966;0
21.11.2013;1783.520020;0
22.11.2013;1797.209961;1
25.11.2013;1806.329956;1
26.11.2013;1802.869995;0
27.11.2013;1803.479980;1
29.11.2013;1808.689941;1
02.12.2013;1806.550049;0
03.12.2013;1800.099976;0
04.12.2013;1793.150024;0
05.12.2013;1792.819946;0
06.12.2013;1788.359985;0
09.12.2013;1806.209961;1
10.12.2013;1807.599976;1
11.12.2013;1802.760010;0
12.12.2013;1781.709961;0
13.12.2013;1777.979980;0
16.12.2013;1777.479980;0
17.12.2013;1786.469971;1
18.12.2013;1781.459961;0
19.12.2013;1809.000000;1
20.12.2013;1810.390015;1
23.12.2013;1822.920044;1
24.12.2013;1828.020020;1
26.12.2013;1834.959961;1
27.12.2013;1842.969971;1
30.12.2013;1841.469971;0
31.12.2013;1842.609985;1
02.01.2014;1845.859985;1
03.01.2014;1833.209961;0
06.01.2014;1832.310059;0
07.01.2014;1828.709961;0
08.01.2014;1837.900024;1
09.01.2014;1839.000000;1
